student_id,name,institution,degree,graduation_year,cgpa,technical_score,communication_score,behavioral_score,cognitive_score,resume_score,psychometric_behavioral,overall_score,experience_months,projects_count,is_placed,salary_lpa,role,placement_prob,technical_communication_balance,cgpa_overall_ratio
STU0001,Student_2824_1,IIT Madras,B.Sc Data Science,2025,8.1,62.2,53.3,64.8,66.5,47.0,76.7,60.1,6,3,0,0.0,Not Placed,61.7,1.1669793621013134,1.3477537437603992
STU0002,Student_2424_2,IIT Hyderabad,B.Tech IT,2025,6.9,75.9,46.1,37.1,73.6,37.7,53.5,58.0,0,2,1,6.6,Software Engineer,57.3,1.646420824295011,1.1896551724137931
STU0003,Student_9928_3,VIT Vellore,B.E CSE,2026,6.3,71.3,36.3,20.0,92.0,54.3,55.8,55.4,0,2,0,0.0,Not Placed,59.4,1.9641873278236914,1.1371841155234657
STU0004,Student_7924_4,NIT Trichy,B.Sc Data Science,2025,6.8,67.2,29.8,47.1,61.0,50.3,72.0,53.1,0,1,0,0.0,Not Placed,54.6,2.2550335570469797,1.28060263653484
STU0005,Student_6881_5,NIT Trichy,B.Sc Data Science,2025,7.5,43.8,43.0,20.0,73.1,20.0,56.4,40.9,24,1,0,0.0,Not Placed,50.3,1.0186046511627906,1.8337408312958436
STU0006,Student_5803_6,BITS Pilani,BCA,2027,8.4,68.4,46.2,35.6,47.8,46.1,67.7,52.1,24,3,1,7.0,Technical Support,57.0,1.4805194805194806,1.6122840690978886
STU0007,Student_2654_7,VIT Vellore,B.Sc Data Science,2026,7.9,29.7,25.7,20.0,59.8,31.1,69.6,31.6,6,2,1,2.5,QA Engineer,42.2,1.1556420233463036,2.5
STU0008,Student_2169_8,IIT Hyderabad,B.Tech ME,2027,6.5,58.8,46.1,52.8,62.8,44.8,51.7,54.3,6,0,1,4.3,Junior Developer,59.2,1.2754880694143167,1.1970534069981584
STU0009,Student_6313_9,NSIT Delhi,B.Tech CSE,2025,8.5,92.1,63.4,73.3,75.4,66.0,79.4,77.5,0,3,1,8.7,Data Scientist,83.7,1.4526813880126181,1.096774193548387
STU0010,Student_6155_10,IIT Kanpur,B.Tech AI&ML,2026,7.5,96.3,28.1,72.6,71.3,73.4,55.8,71.9,0,1,1,7.8,Software Engineer,78.8,3.4270462633451952,1.043115438108484
STU0011,Student_5304_11,DTU Delhi,B.Tech IT,2027,7.2,72.1,72.7,34.0,57.9,51.7,71.1,60.4,0,2,1,7.8,Junior Developer,62.9,0.9917469050894084,1.1920529801324504
STU0012,Student_2796_12,IIT Delhi,B.Tech ME,2027,6.9,75.3,54.1,62.6,59.5,56.3,55.3,64.2,0,5,1,6.1,Data Analyst,65.5,1.3918669131238446,1.074766355140187
STU0013,Student_1188_13,BITS Pilani,B.Tech ECE,2027,7.9,70.2,49.2,37.9,48.8,51.1,57.6,54.4,6,1,0,0.0,Not Placed,64.7,1.4268292682926829,1.4522058823529411
STU0014,Student_5808_14,VIT Vellore,B.Tech ME,2026,7.3,73.1,79.4,47.0,73.9,57.6,57.8,67.7,6,5,0,0.0,Not Placed,64.3,0.9206549118387908,1.0782865583456425
STU0015,Student_3927_15,Anna University,B.Tech ECE,2027,7.6,100.0,67.1,65.4,69.5,66.0,78.3,78.5,0,0,1,9.6,Software Engineer,78.1,1.4903129657228018,0.9681528662420382
STU0016,Student_9689_16,IIT Madras,BCA,2026,8.4,46.8,53.8,20.0,78.8,63.7,55.0,49.3,12,2,0,0.0,Not Placed,51.2,0.8698884758364313,1.7038539553752536
STU0017,Student_6038_17,IIT Kanpur,B.Tech CSE,2025,7.6,54.9,20.0,34.2,54.1,49.6,66.8,43.1,0,1,0,0.0,Not Placed,54.6,2.745,1.7633410672853829
STU0018,Student_2133_18,NSIT Delhi,B.Tech ME,2025,6.6,58.6,53.2,20.0,73.4,62.5,57.4,52.4,0,1,0,0.0,Not Placed,57.3,1.1015037593984962,1.2595419847328244
STU0019,Student_7932_19,IIT Kanpur,B.E CSE,2027,7.8,80.6,37.9,24.6,77.8,68.1,68.1,59.2,6,1,0,0.0,Not Placed,63.2,2.1266490765171504,1.3175675675675675
STU0020,Student_9479_20,SRM Chennai,B.Tech ECE,2025,6.7,69.6,53.1,28.9,98.0,61.4,63.9,61.6,0,0,1,6.1,QA Engineer,60.7,1.310734463276836,1.0876623376623376
STU0021,Student_1964_21,IIT Kanpur,B.Tech ECE,2025,6.3,80.7,73.9,33.7,84.5,69.5,82.0,69.4,0,1,1,5.9,Full Stack Developer,72.8,1.0920162381596752,0.9077809798270893
STU0022,Student_8744_22,IIT Kanpur,B.Tech AI&ML,2026,7.2,49.9,21.6,20.0,68.8,44.0,67.3,40.5,0,3,1,3.9,Technical Support,44.6,2.310185185185185,1.7777777777777777
STU0023,Student_1887_23,BITS Pilani,B.Tech ECE,2025,7.5,94.1,61.9,100.0,79.4,65.0,67.8,83.7,0,1,1,9.7,Software Engineer,82.0,1.5201938610662358,0.8960573476702509
STU0024,Student_3296_24,VIT Vellore,B.Tech ME,2026,7.2,79.3,62.6,46.3,57.3,45.2,68.7,62.6,0,2,0,0.0,Not Placed,65.8,1.266773162939297,1.1501597444089458
STU0025,Student_2604_25,IIT Madras,B.Tech CSE,2025,7.8,40.1,30.7,31.0,56.7,33.9,54.1,38.3,0,1,0,0.0,Not Placed,50.7,1.3061889250814334,2.0365535248041775
STU0026,Student_4502_26,VIT Vellore,B.Tech CSE,2025,7.9,76.2,69.6,64.7,49.3,49.7,71.6,65.9,0,2,0,0.0,Not Placed,68.3,1.0948275862068966,1.1987860394537178
